Age,Gender,Country,Academic_Level,Most_Used_Platform,Purpose_Of_Use,Avg_Daily_Usage_Hours,Daily_Unlocks,Study_Hours,Physical_Activity_Hours,Sleep_Hours_Per_Night,Stress_Level,Mental_Health_Score
20,Male,Nepal,Undergraduate,Facebook,Networking,4.5,144,3.8,1.5,7.5,High,7.0
21,Female,Pakistan,Undergraduate,Instagram,Entertainment,5.2,176,3.3,1.5,6.4,High,5.0
19,Male,Sri Lanka,Undergraduate,TikTok,Entertainment,5.7,196,2.2,0.9,5.7,Very High,6.0
20,Female,Maldives,Undergraduate,Instagram,Entertainment,4.4,145,4.8,1.2,7.6,High,8.0
22,Male,Bangladesh,Undergraduate,Facebook,Networking,5.1,190,3.7,1.3,6.5,High,5.0
21,Female,India,Undergraduate,Instagram,Entertainment,5.6,189,2.2,1.6,5.6,High,6.0
19,Male,Nepal,Undergraduate,TikTok,Entertainment,4.3,162,4.3,1.3,7.7,Medium,7.0
20,Female,Pakistan,Undergraduate,Instagram,Entertainment,5.0,152,4.5,1.7,6.6,Medium,5.0
22,Male,Sri Lanka,Undergraduate,Facebook,Networking,5.5,192,4.1,2.2,5.5,High,6.0
21,Female,Maldives,Undergraduate,Instagram,Entertainment,4.2,143,2.8,1.3,7.8,Medium,8.0
19,Male,Bangladesh,Undergraduate,TikTok,Entertainment,4.9,175,2.4,1.7,6.7,Medium,5.0
20,Female,India,Undergraduate,Instagram,Entertainment,5.4,192,3.8,2.2,5.4,High,6.0
22,Male,Nepal,Undergraduate,Facebook,Networking,4.1,137,3.1,1.8,7.9,Medium,7.0
21,Female,Pakistan,Undergraduate,Instagram,Entertainment,4.8,155,2.1,1.5,6.8,High,5.0
19,Male,Sri Lanka,Undergraduate,TikTok,Entertainment,5.3,159,2.3,2.3,5.3,High,6.0
20,Female,Maldives,Undergraduate,Instagram,Entertainment,4.0,149,4.3,1.8,8.0,Medium,8.0
22,Male,Bangladesh,Undergraduate,Facebook,Networking,4.7,172,3.2,2.4,6.9,High,5.0
21,Female,India,Undergraduate,Instagram,Entertainment,5.2,171,2.3,1.9,5.2,High,6.0
19,Male,Nepal,Undergraduate,TikTok,Entertainment,3.9,128,3.6,1.9,8.1,High,7.0
20,Female,Pakistan,Undergraduate,Instagram,Entertainment,4.6,152,2.8,2.1,7.0,High,5.0
22,Male,Sri Lanka,Undergraduate,Facebook,Networking,5.1,168,2.2,1.9,5.1,High,6.0
21,Female,Maldives,Undergraduate,Instagram,Entertainment,3.8,156,6.0,2.6,8.2,Medium,8.0
19,Male,Bangladesh,Undergraduate,TikTok,Entertainment,4.5,141,3.7,1.6,7.1,High,5.0
20,Female,India,Undergraduate,Instagram,Entertainment,5.0,163,3.7,1.8,5.0,High,6.0
22,Male,Nepal,Undergraduate,Facebook,Networking,3.7,142,3.9,2.0,8.3,Low,7.0
21,Female,Pakistan,Undergraduate,Instagram,Entertainment,4.4,144,3.5,2.3,7.2,High,5.0
19,Male,Sri Lanka,Undergraduate,TikTok,Entertainment,4.9,182,2.5,1.3,4.9,High,6.0
20,Female,Maldives,Undergraduate,Instagram,Entertainment,3.6,151,2.3,2.6,8.4,Medium,8.0
22,Male,Bangladesh,Undergraduate,Facebook,Networking,4.3,147,2.6,2.2,7.3,Medium,5.0
21,Female,India,Undergraduate,Instagram,Entertainment,4.8,174,1.8,1.1,4.8,High,6.0
19,Male,Nepal,Undergraduate,TikTok,Entertainment,3.5,142,2.7,2.7,8.5,Medium,7.0
20,Female,Pakistan,Undergraduate,Instagram,Entertainment,4.2,157,2.8,3.1,7.4,Medium,5.0
22,Male,Sri Lanka,Undergraduate,Facebook,Networking,4.7,149,4.4,2.3,4.7,High,6.0
21,Female,Maldives,Undergraduate,Instagram,Entertainment,3.4,111,4.6,2.9,8.6,Medium,8.0
19,Male,Bangladesh,Undergraduate,TikTok,Entertainment,4.1,140,4.9,2.0,7.5,Medium,5.0
20,Female,India,Undergraduate,Instagram,Entertainment,4.6,145,3.7,1.0,4.6,High,6.0
19,Female,Bangladesh,Undergraduate,Instagram,Entertainment,5.3,168,3.3,0.8,6.1,High,5.0
21,Male,India,Undergraduate,Facebook,Networking,4.8,170,2.5,1.9,7.2,Medium,7.0
20,Female,Nepal,Undergraduate,TikTok,Entertainment,5.5,185,2.9,1.3,5.9,High,6.0
22,Male,Pakistan,Undergraduate,Instagram,Entertainment,4.7,150,3.9,1.4,6.3,High,5.0
19,Female,Sri Lanka,Undergraduate,Facebook,Networking,5.1,152,2.4,1.7,7.0,Medium,7.0
21,Male,Maldives,Undergraduate,TikTok,Entertainment,5.4,169,3.0,2.0,6.0,High,6.0
20,Female,Bangladesh,Undergraduate,Instagram,Entertainment,4.9,165,3.6,1.0,6.4,High,5.0
22,Male,India,Undergraduate,Facebook,Networking,5.2,186,2.4,1.5,7.1,High,7.0
19,Female,Nepal,Undergraduate,TikTok,Entertainment,5.6,179,1.5,2.4,5.8,High,6.0
21,Male,Pakistan,Undergraduate,Instagram,Entertainment,4.6,151,2.5,1.3,6.5,Medium,5.0
20,Female,Sri Lanka,Undergraduate,Facebook,Networking,5.0,172,3.1,2.2,7.3,High,7.0
22,Male,Maldives,Undergraduate,TikTok,Entertainment,5.3,159,3.0,1.4,5.7,High,6.0
19,Female,Bangladesh,Undergraduate,Instagram,Entertainment,4.8,154,2.6,2.1,6.6,High,5.0
21,Male,India,Undergraduate,Facebook,Networking,5.1,153,2.9,2.3,7.4,High,7.0
20,Female,Nepal,Undergraduate,TikTok,Entertainment,5.7,188,2.8,1.9,5.6,High,6.0
22,Male,Pakistan,Undergraduate,Instagram,Entertainment,4.5,154,4.0,2.3,6.7,High,5.0
19,Female,Sri Lanka,Undergraduate,Facebook,Networking,4.9,170,4.3,1.2,7.5,Medium,7.0
21,Male,Maldives,Undergraduate,TikTok,Entertainment,5.2,179,3.8,2.3,5.5,High,6.0
20,Female,Bangladesh,Undergraduate,Instagram,Entertainment,4.7,157,2.5,1.4,6.8,High,5.0
22,Male,India,Undergraduate,Facebook,Networking,5.0,184,4.3,1.9,7.6,Medium,7.0
19,Female,Nepal,Undergraduate,TikTok,Entertainment,5.8,206,1.8,1.7,5.4,High,6.0
21,Male,Pakistan,Undergraduate,Instagram,Entertainment,4.4,139,4.4,2.1,6.9,High,5.0
20,Female,Sri Lanka,Undergraduate,Facebook,Networking,4.8,181,3.3,2.0,7.7,High,7.0
22,Male,Maldives,Undergraduate,TikTok,Entertainment,5.1,159,2.6,1.3,5.3,High,6.0
19,Female,Bangladesh,Undergraduate,Instagram,Entertainment,4.6,149,2.0,1.2,7.0,Medium,5.0
21,Male,India,Undergraduate,Facebook,Networking,4.9,168,3.0,2.2,7.8,Medium,7.0
20,Female,Nepal,Undergraduate,TikTok,Entertainment,5.9,173,1.0,1.6,5.2,Very High,6.0
22,Male,Pakistan,Undergraduate,Instagram,Entertainment,4.3,146,4.5,2.5,7.1,High,5.0
19,Female,Sri Lanka,Undergraduate,Facebook,Networking,4.7,149,4.5,1.8,7.9,Medium,7.0
21,Male,Maldives,Undergraduate,TikTok,Entertainment,5.0,169,2.4,1.0,5.1,High,6.0
20,Female,Bangladesh,Undergraduate,Instagram,Entertainment,4.5,169,3.7,2.4,7.2,Medium,5.0
22,Male,India,Undergraduate,Facebook,Networking,4.8,181,2.6,1.6,8.0,Medium,7.0
19,Female,Nepal,Undergraduate,TikTok,Entertainment,6.0,183,1.5,1.7,5.0,Very High,6.0
21,Male,Pakistan,Undergraduate,Instagram,Entertainment,4.2,151,4.4,1.6,7.3,Medium,5.0
20,Female,Sri Lanka,Undergraduate,Facebook,Networking,4.6,158,3.4,2.7,8.1,Medium,7.0
22,Male,Maldives,Undergraduate,TikTok,Entertainment,4.9,163,4.5,1.3,4.9,High,6.0
19,Female,Bangladesh,Undergraduate,Instagram,Entertainment,4.4,160,3.2,1.7,7.4,Medium,5.0
21,Male,India,Undergraduate,Facebook,Networking,4.7,181,4.1,1.9,8.2,Medium,7.0
20,Female,Nepal,Undergraduate,TikTok,Entertainment,6.1,193,2.0,0.9,4.8,Very High,6.0
22,Male,Pakistan,Undergraduate,Instagram,Entertainment,4.1,129,4.5,2.1,7.5,Medium,5.0
19,Female,Sri Lanka,Undergraduate,Facebook,Networking,4.5,173,3.1,2.7,8.3,Medium,7.0
21,Male,Maldives,Undergraduate,TikTok,Entertainment,4.8,182,3.2,1.6,4.7,High,6.0
20,Female,Bangladesh,Undergraduate,Instagram,Entertainment,4.3,144,3.6,2.1,7.6,Medium,5.0
22,Male,India,Undergraduate,Facebook,Networking,4.6,160,2.7,0.5,8.4,Medium,7.0
19,Female,Nepal,Undergraduate,TikTok,Entertainment,6.2,214,2.3,1.4,4.6,Very High,6.0
21,Male,Pakistan,Undergraduate,Instagram,Entertainment,4.0,145,4.5,1.8,7.7,Medium,5.0
20,Female,Sri Lanka,Undergraduate,Facebook,Networking,4.4,154,4.1,1.5,8.5,High,7.0
22,Male,Maldives,Undergraduate,TikTok,Entertainment,4.7,178,4.5,2.4,4.5,High,6.0
19,Female,Bangladesh,Undergraduate,Instagram,Entertainment,4.2,163,5.0,1.8,7.8,Medium,5.0
21,Male,India,Undergraduate,Facebook,Networking,4.5,157,3.2,1.8,8.6,Medium,7.0
20,Female,Nepal,Undergraduate,TikTok,Entertainment,6.3,188,2.0,1.2,4.4,Very High,6.0
22,Male,Pakistan,Undergraduate,Instagram,Entertainment,3.9,139,3.6,1.1,7.9,Medium,5.0
19,Female,Sri Lanka,Undergraduate,Facebook,Networking,4.3,159,3.7,1.4,8.7,Medium,7.0
21,Male,Maldives,Undergraduate,TikTok,Entertainment,4.6,150,2.9,2.3,4.3,High,6.0
20,Female,Bangladesh,Undergraduate,Instagram,Entertainment,4.1,148,5.2,0.9,8.0,Medium,5.0
22,Male,India,Undergraduate,Facebook,Networking,4.4,161,3.9,1.5,8.8,Medium,7.0
19,Female,Nepal,Undergraduate,TikTok,Entertainment,6.4,188,1.4,1.2,4.2,Very High,6.0
21,Male,Pakistan,Undergraduate,Instagram,Entertainment,3.8,142,5.2,2.9,8.1,Medium,5.0
20,Female,Sri Lanka,Undergraduate,Facebook,Networking,4.2,159,2.1,2.3,8.9,Medium,7.0
22,Male,Maldives,Undergraduate,TikTok,Entertainment,4.5,145,1.9,1.6,4.1,High,6.0
19,Female,USA,Undergraduate,Instagram,Entertainment,6.5,208,2.1,2.0,6.0,High,5.0
21,Male,UK,Undergraduate,TikTok,Entertainment,5.8,198,2.2,1.2,6.5,High,6.0
20,Female,Australia,Undergraduate,Instagram,Entertainment,4.5,138,3.7,2.4,7.5,Medium,8.0
22,Male,Germany,Undergraduate,Facebook,Networking,4.2,155,2.7,1.3,7.8,Medium,7.0
19,Female,Japan,Undergraduate,LINE,Entertainment,3.8,130,4.2,2.6,7.9,Medium,8.0
21,Male,Italy,Undergraduate,Instagram,Entertainment,5.5,177,4.1,1.4,6.8,High,6.0
20,Female,South Korea,Undergraduate,KakaoTalk,News,5.2,180,3.5,1.2,6.5,High,6.0
22,Male,Russia,Undergraduate,VKontakte,Networking,4.8,145,3.3,1.7,7.2,High,7.0
19,Female,USA,Undergraduate,TikTok,Entertainment,7.0,200,1.0,1.4,5.8,Very High,4.0
21,Male,UK,Undergraduate,Instagram,Entertainment,5.5,179,2.2,1.4,6.7,Very High,6.0
20,Female,Australia,Undergraduate,Facebook,Networking,4.7,179,1.6,2.1,7.4,Medium,7.0
22,Male,Germany,Undergraduate,Instagram,Entertainment,4.0,125,4.2,1.7,7.9,Medium,8.0
19,Female,Japan,Undergraduate,LINE,Education,3.5,143,5.2,2.4,8.0,Medium,8.0
21,Male,Italy,Undergraduate,TikTok,Entertainment,5.7,169,1.0,1.8,6.5,High,5.0
20,Female,South Korea,Undergraduate,KakaoTalk,Education,5.0,169,2.5,1.7,6.8,High,6.0
22,Male,Russia,Undergraduate,VKontakte,News,4.5,154,2.6,1.7,7.4,Very High,7.0
19,Female,USA,Undergraduate,Instagram,Entertainment,6.8,213,1.0,1.4,5.9,Very High,4.0
21,Male,UK,Undergraduate,Facebook,Networking,5.6,168,2.4,1.9,6.6,Very High,6.0
20,Female,Australia,Undergraduate,Instagram,Entertainment,4.6,170,1.7,2.9,7.3,Medium,7.0
22,Male,Germany,Undergraduate,Facebook,Networking,4.1,138,4.4,2.4,7.7,Medium,8.0
19,Female,Japan,Undergraduate,LINE,Entertainment,3.7,147,4.9,2.6,7.8,Medium,8.0
21,Male,Italy,Undergraduate,Instagram,Entertainment,5.4,186,2.4,3.2,6.7,High,5.0
20,Female,South Korea,Undergraduate,KakaoTalk,Networking,5.1,174,1.0,2.0,6.6,High,6.0
22,Male,Russia,Undergraduate,VKontakte,Entertainment,4.7,154,2.5,2.1,7.3,High,7.0
19,Female,USA,Undergraduate,TikTok,Entertainment,6.9,223,2.1,1.6,5.7,Very High,4.0
21,Male,UK,Undergraduate,Instagram,Entertainment,5.7,206,1.0,1.1,6.4,High,6.0
20,Female,Australia,Undergraduate,Facebook,Networking,4.8,181,2.9,1.6,7.2,High,7.0
22,Male,Germany,Undergraduate,Instagram,Entertainment,3.9,158,3.2,1.8,7.8,Medium,8.0
19,Female,Japan,Undergraduate,LINE,Entertainment,3.6,123,5.0,2.4,8.1,Medium,8.0
21,Male,Italy,Undergraduate,TikTok,Entertainment,5.6,188,1.9,1.5,6.6,High,5.0
20,Female,South Korea,Undergraduate,KakaoTalk,Networking,4.9,162,3.4,1.8,6.9,High,6.0
22,Male,Russia,Undergraduate,VKontakte,News,4.6,178,3.9,2.4,7.5,Medium,7.0
19,Female,USA,Undergraduate,Instagram,Entertainment,6.7,230,2.8,1.8,5.8,Very High,4.0
21,Male,UK,Undergraduate,Facebook,Networking,5.4,194,2.4,1.6,6.5,High,6.0
20,Female,Australia,Undergraduate,Instagram,Entertainment,4.4,141,3.9,1.6,7.4,High,7.0
22,Male,Germany,Undergraduate,Facebook,Networking,4.0,137,2.8,2.6,7.6,Medium,8.0
19,Female,Japan,Undergraduate,LINE,Networking,3.4,138,5.6,2.5,8.2,Medium,8.0
21,Male,Italy,Undergraduate,Instagram,Entertainment,5.3,186,2.1,0.9,6.8,High,5.0
20,Female,South Korea,Undergraduate,KakaoTalk,News,5.0,164,2.6,1.6,6.7,Medium,6.0
22,Male,Russia,Undergraduate,VKontakte,Networking,4.4,140,3.6,2.0,7.6,Medium,7.0
19,Female,USA,Undergraduate,TikTok,Entertainment,6.6,195,1.0,1.7,5.6,Very High,4.0
21,Male,UK,Undergraduate,Instagram,Entertainment,5.3,184,2.9,2.1,6.3,High,6.0
20,Female,Australia,Undergraduate,Facebook,Networking,4.3,150,4.5,2.1,7.5,Medium,7.0
22,Male,Germany,Undergraduate,Instagram,Entertainment,3.8,139,4.4,2.3,7.7,Medium,8.0
19,Female,Japan,Undergraduate,LINE,News,3.3,139,3.4,2.2,8.3,Low,8.0
21,Male,Italy,Undergraduate,TikTok,Entertainment,5.2,155,2.7,1.4,6.9,High,5.0
20,Female,South Korea,Undergraduate,KakaoTalk,Networking,4.8,175,3.8,1.7,7.0,High,6.0
22,Male,Russia,Undergraduate,VKontakte,Entertainment,4.3,142,2.2,1.9,7.7,Medium,7.0
19,Female,USA,Undergraduate,Instagram,Entertainment,6.4,222,1.0,1.4,5.7,Very High,4.0
21,Male,UK,Undergraduate,Facebook,Networking,5.2,193,3.5,0.8,6.4,Medium,6.0
20,Female,Australia,Undergraduate,Instagram,Entertainment,4.5,157,3.7,1.7,7.3,High,7.0
22,Male,Germany,Undergraduate,Facebook,Networking,3.7,129,4.6,2.1,7.8,Medium,8.0
19,Female,Japan,Undergraduate,LINE,News,3.2,114,6.3,2.1,8.4,Medium,8.0
21,Male,Italy,Undergraduate,Instagram,Entertainment,5.4,167,3.0,1.5,6.7,High,5.0
20,Female,South Korea,Undergraduate,KakaoTalk,Education,4.7,181,3.8,2.1,7.1,High,6.0
22,Male,Russia,Undergraduate,VKontakte,Networking,4.2,137,6.0,1.4,7.8,High,7.0
19,Female,USA,Undergraduate,TikTok,Entertainment,6.6,207,1.2,0.5,5.5,Very High,4.0
21,Male,UK,Undergraduate,Instagram,Entertainment,5.1,171,2.3,1.6,6.5,High,6.0
20,Female,Australia,Undergraduate,Facebook,Networking,4.4,162,3.9,2.3,7.4,High,7.0
22,Male,Germany,Undergraduate,Instagram,Entertainment,3.6,148,4.8,2.9,7.9,Medium,8.0
19,Female,Japan,Undergraduate,LINE,Education,3.1,124,4.5,2.6,8.5,Low,8.0
21,Male,Italy,Undergraduate,TikTok,Entertainment,5.3,187,1.9,0.9,6.8,Very High,5.0
20,Female,South Korea,Undergraduate,KakaoTalk,Entertainment,4.6,162,5.2,1.7,7.2,High,6.0
22,Male,Russia,Undergraduate,VKontakte,News,4.1,144,4.2,2.1,7.9,Medium,7.0
19,Female,USA,Undergraduate,Instagram,Entertainment,6.7,198,1.0,1.4,5.4,Very High,4.0
21,Male,UK,Undergraduate,Facebook,Networking,5.0,158,3.7,2.0,6.6,Medium,6.0
20,Female,Australia,Undergraduate,Instagram,Entertainment,4.3,149,3.6,1.5,7.5,High,7.0
22,Male,Germany,Undergraduate,Facebook,Networking,3.5,113,4.3,2.2,8.0,Medium,8.0
19,Female,Japan,Undergraduate,LINE,News,3.0,112,5.4,2.5,8.6,Medium,8.0
21,Male,Italy,Undergraduate,Instagram,Entertainment,5.2,173,1.8,2.1,6.9,High,5.0
20,Female,South Korea,Undergraduate,KakaoTalk,Networking,4.5,155,3.8,1.5,7.3,High,6.0
22,Male,Russia,Undergraduate,VKontakte,Education,4.0,157,5.5,1.8,8.0,Medium,7.0
19,Female,USA,Undergraduate,TikTok,Entertainment,6.8,233,1.6,0.0,5.3,Very High,4.0
21,Male,UK,Undergraduate,Instagram,Entertainment,4.9,176,2.8,1.5,6.7,Medium,6.0
20,Female,Australia,Undergraduate,Facebook,Networking,4.2,133,3.4,1.7,7.6,High,7.0
22,Male,Germany,Undergraduate,Instagram,Entertainment,3.4,126,4.3,1.6,8.1,High,8.0
19,Female,Japan,Undergraduate,LINE,News,2.9,126,4.9,2.4,8.7,Medium,8.0
21,Male,Italy,Undergraduate,TikTok,Entertainment,5.1,175,2.6,1.7,7.0,High,5.0
20,Female,South Korea,Undergraduate,KakaoTalk,Networking,4.4,153,4.3,0.8,7.4,Medium,6.0
22,Male,Russia,Undergraduate,VKontakte,Education,3.9,139,2.7,2.1,8.1,Medium,7.0
19,Female,USA,Undergraduate,Instagram,Entertainment,6.9,213,1.8,0.8,5.2,Very High,4.0
21,Male,UK,Undergraduate,Facebook,Networking,4.8,168,2.9,2.0,6.8,Medium,6.0
20,Female,Australia,Undergraduate,Instagram,Entertainment,4.1,134,4.2,1.3,7.7,High,7.0
22,Male,Germany,Undergraduate,Facebook,Networking,3.3,127,3.8,2.2,8.2,Medium,8.0
19,Female,Japan,Undergraduate,LINE,Education,2.8,103,6.3,2.2,8.8,Low,8.0
21,Male,Italy,Undergraduate,Instagram,Entertainment,5.0,177,4.0,1.9,7.1,Medium,5.0
20,Female,South Korea,Undergraduate,KakaoTalk,Entertainment,4.3,166,4.5,2.0,7.5,Medium,6.0
22,Male,Russia,Undergraduate,VKontakte,Entertainment,3.8,140,3.0,1.9,8.2,Low,7.0
19,Female,USA,Undergraduate,TikTok,Entertainment,7.0,215,1.7,0.5,5.1,Very High,4.0
21,Male,UK,Undergraduate,Instagram,Entertainment,4.7,179,3.6,1.1,6.9,Medium,6.0
20,Female,Australia,Undergraduate,Facebook,Networking,4.0,151,2.7,1.7,7.8,Medium,7.0
22,Male,Germany,Undergraduate,Instagram,Entertainment,3.2,122,4.8,2.2,8.3,Low,8.0
19,Female,Japan,Undergraduate,LINE,Networking,2.7,93,5.6,2.0,8.9,Low,8.0
21,Male,Italy,Undergraduate,TikTok,Entertainment,4.9,147,3.5,2.1,7.2,High,5.0
20,Female,South Korea,Undergraduate,KakaoTalk,News,4.2,138,3.9,1.8,7.6,Medium,6.0
22,Male,Russia,Undergraduate,VKontakte,Entertainment,3.7,126,4.5,1.6,8.3,Medium,7.0
19,Female,USA,Undergraduate,Instagram,Entertainment,7.1,230,2.1,1.1,5.0,Very High,4.0
21,Male,UK,Undergraduate,Facebook,Networking,4.6,160,4.4,2.0,7.0,Medium,6.0
20,Female,Australia,Undergraduate,Instagram,Entertainment,3.9,161,1.8,2.2,7.9,Low,7.0
22,Male,Germany,Undergraduate,Facebook,Networking,3.1,123,4.6,3.2,8.4,Low,8.0
19,Female,Spain,Undergraduate,Instagram,Entertainment,5.2,191,2.7,1.4,6.8,Very High,6.0
21,Male,Denmark,Undergraduate,Facebook,Networking,4.1,149,2.5,1.9,7.8,High,8.0
20,Female,Ireland,Undergraduate,Instagram,Entertainment,5.0,164,3.1,2.0,7.0,High,7.0
22,Male,India,Undergraduate,WhatsApp,News,5.8,198,3.2,1.5,6.5,High,5.0
19,Female,Switzerland,Undergraduate,Instagram,Entertainment,4.0,142,3.1,1.7,7.9,Medium,8.0
21,Male,Turkey,Undergraduate,Instagram,Entertainment,5.5,172,2.8,0.9,6.7,High,6.0
20,Female,USA,Undergraduate,TikTok,Entertainment,6.8,213,1.0,1.0,5.5,Very High,5.0
22,Male,Mexico,Undergraduate,WhatsApp,News,5.6,191,1.9,1.1,6.6,High,6.0
19,Female,France,Undergraduate,Instagram,Entertainment,4.5,152,4.7,1.0,7.5,Medium,7.0
21,Male,Canada,Undergraduate,Instagram,Entertainment,5.3,185,2.3,1.3,6.9,High,6.0
20,Female,Spain,Undergraduate,TikTok,Entertainment,5.1,191,3.3,1.2,6.7,High,6.0
22,Male,Denmark,Undergraduate,Facebook,Networking,3.9,138,2.6,2.3,7.9,Medium,8.0
19,Female,Ireland,Undergraduate,Instagram,Entertainment,4.8,156,4.7,2.1,7.1,Medium,7.0
21,Male,India,Undergraduate,WhatsApp,Education,5.9,188,2.6,1.1,6.4,Very High,5.0
20,Female,Switzerland,Undergraduate,Instagram,Entertainment,3.8,153,4.1,1.9,8.0,Medium,8.0
22,Male,Turkey,Undergraduate,TikTok,Entertainment,5.4,167,3.1,0.7,6.8,High,6.0
19,Female,USA,Undergraduate,Instagram,Entertainment,6.9,235,1.0,1.0,5.4,Very High,5.0
21,Male,Mexico,Undergraduate,WhatsApp,Networking,5.7,183,3.2,1.8,6.5,High,6.0
20,Female,France,Undergraduate,Instagram,Entertainment,4.4,168,3.3,2.3,7.6,High,7.0
22,Male,Canada,Undergraduate,TikTok,Entertainment,5.2,186,2.6,1.3,7.0,Medium,6.0
19,Female,Spain,Undergraduate,Instagram,Entertainment,5.0,181,2.6,2.3,6.9,High,6.0
21,Male,Denmark,Undergraduate,Facebook,Networking,3.8,156,3.7,1.3,8.0,Medium,8.0
20,Female,Ireland,Undergraduate,TikTok,Entertainment,4.7,149,3.9,1.2,7.2,High,7.0
22,Male,India,Undergraduate,WhatsApp,Entertainment,6.0,198,2.2,1.9,6.3,High,5.0
19,Female,Switzerland,Undergraduate,Instagram,Entertainment,3.7,120,4.8,2.9,8.1,Medium,8.0
21,Male,Turkey,Undergraduate,Instagram,Entertainment,5.3,168,2.7,1.9,6.9,Very High,6.0
20,Female,USA,Undergraduate,TikTok,Entertainment,7.0,201,1.4,1.2,5.3,Very High,5.0
22,Male,Mexico,Undergraduate,WhatsApp,News,5.8,197,1.9,0.5,6.4,High,6.0
19,Female,France,Undergraduate,Instagram,Entertainment,4.3,156,5.5,0.9,7.7,Medium,7.0
21,Male,Canada,Undergraduate,Instagram,Entertainment,5.1,181,1.6,1.8,7.1,High,6.0
20,Female,Spain,Undergraduate,TikTok,Entertainment,4.9,154,4.1,1.6,7.0,High,6.0
22,Male,Denmark,Undergraduate,Facebook,Networking,3.7,130,5.4,1.5,8.1,Medium,8.0
19,Female,Ireland,Undergraduate,Instagram,Entertainment,4.6,167,2.7,1.9,7.3,High,7.0
21,Male,India,Undergraduate,WhatsApp,Networking,6.1,210,3.7,1.5,6.2,High,5.0
20,Female,Switzerland,Undergraduate,Instagram,Entertainment,3.6,150,5.2,2.6,8.2,Low,8.0
22,Male,Turkey,Undergraduate,TikTok,Entertainment,5.2,157,3.6,1.8,7.0,High,6.0
19,Female,USA,Undergraduate,Instagram,Entertainment,7.1,218,1.0,1.8,5.2,Very High,5.0
21,Male,Mexico,Undergraduate,WhatsApp,Education,5.9,172,1.9,1.5,6.3,Very High,6.0
20,Female,France,Undergraduate,Instagram,Entertainment,4.2,162,3.6,1.9,7.8,Medium,7.0
22,Male,Canada,Undergraduate,TikTok,Entertainment,5.0,154,3.3,2.3,7.2,Medium,6.0
19,Female,Spain,Undergraduate,Instagram,Entertainment,4.8,177,4.3,1.3,7.1,High,6.0
21,Male,Denmark,Undergraduate,Facebook,Networking,3.6,121,4.5,3.5,8.2,Low,8.0
20,Female,Ireland,Undergraduate,TikTok,Entertainment,4.5,137,2.8,2.1,7.4,High,7.0
22,Male,India,Undergraduate,WhatsApp,Entertainment,6.2,215,2.5,1.6,6.1,High,5.0
19,Female,Switzerland,Undergraduate,Instagram,Entertainment,3.5,129,5.2,2.4,8.3,Medium,8.0
21,Male,Turkey,Undergraduate,Instagram,Entertainment,5.1,168,3.4,2.7,7.1,High,6.0
20,Female,USA,Undergraduate,TikTok,Entertainment,7.2,230,1.4,1.6,5.1,Very High,5.0
22,Male,Mexico,Undergraduate,WhatsApp,News,6.0,185,1.8,0.7,6.2,Very High,6.0
19,Female,France,Undergraduate,Instagram,Entertainment,4.1,154,3.2,2.7,7.9,Medium,7.0
21,Male,Canada,Undergraduate,Instagram,Entertainment,4.9,164,2.4,1.6,7.3,High,6.0
20,Female,Spain,Undergraduate,TikTok,Entertainment,4.7,152,2.0,1.9,7.2,Medium,6.0
22,Male,Denmark,Undergraduate,Facebook,Networking,3.5,127,4.7,1.5,8.3,Medium,8.0
19,Female,Ireland,Undergraduate,Instagram,Entertainment,4.4,135,3.5,2.2,7.5,Medium,7.0
21,Male,India,Undergraduate,WhatsApp,Education,6.3,194,1.3,1.1,6.0,Very High,5.0
20,Female,Switzerland,Undergraduate,Instagram,Entertainment,3.4,133,2.2,2.2,8.4,Medium,8.0
22,Male,Turkey,Undergraduate,TikTok,Entertainment,5.0,155,2.0,1.6,7.2,Medium,6.0
19,Female,USA,Undergraduate,Instagram,Entertainment,7.3,211,1.6,2.1,5.0,Very High,5.0
21,Male,Mexico,Undergraduate,WhatsApp,News,6.1,203,1.4,2.5,6.1,Very High,6.0
20,Female,France,Undergraduate,Instagram,Entertainment,4.0,142,4.3,2.0,8.0,Medium,7.0
22,Male,Canada,Undergraduate,TikTok,Entertainment,4.8,150,2.1,1.8,7.4,High,6.0
19,Female,Spain,Undergraduate,Instagram,Entertainment,4.6,169,4.6,1.7,7.3,Medium,6.0
21,Male,Denmark,Undergraduate,Facebook,Networking,3.4,141,4.5,2.7,8.4,Medium,8.0
20,Female,Ireland,Undergraduate,TikTok,Entertainment,4.3,133,3.9,1.8,7.6,Medium,7.0
22,Male,India,Undergraduate,WhatsApp,Networking,6.4,193,3.5,1.2,5.9,Very High,5.0
19,Female,Switzerland,Undergraduate,Instagram,Entertainment,3.3,121,5.9,2.7,8.5,Low,8.0
21,Male,Turkey,Undergraduate,Instagram,Entertainment,4.9,176,2.9,1.5,7.3,High,6.0
20,Female,USA,Undergraduate,TikTok,Entertainment,7.4,212,1.0,1.1,4.9,Very High,5.0
22,Male,Mexico,Undergraduate,WhatsApp,News,6.2,212,1.5,0.7,6.0,Very High,6.0
19,Female,France,Undergraduate,Instagram,Entertainment,3.9,134,4.5,2.4,8.1,Medium,7.0
21,Male,Canada,Undergraduate,Instagram,Entertainment,4.7,147,3.2,2.8,7.5,Medium,6.0
